Date,Team,Acquired,Relinquished,Notes,Year
2020-12-25,Titans,Kalif Raymond,,activated from reserve/COVID-19 list,2020
2020-12-26,Bengals,Tony Brown (Mendell),,activated from IR,2020
2020-12-26,Broncos,,Phillip Lindsay,"placed on IR with hip, knee injury",2020
2020-12-26,Browns,,B.J. Goodson,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,,Donovan Peoples-Jones,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,,Jacob Phillips,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,,Jarvis Landry,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,,Khadarel Hodge,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,,Rashard Higgins,placed on reserve/COVID-19 list,2020
2020-12-26,Browns,Jedrick Wills Jr.,,activated from reserve/COVID-19 list,2020
2020-12-26,Chargers,,Uchenna Nwosu,placed on IR with knee injury,2020
2020-12-26,Chiefs,,Emmanuel Smith,placed on practice squad IR with undisclosed injury,2020
2020-12-26,Cowboys,,Antwaun Woods,placed on IR with ankle injury,2020
2020-12-26,Cowboys,,Chris Westry,placed on practice squad IR with knee injury,2020
2020-12-26,Eagles,,Josh Sweat,placed on IR with wrist injury,2020
2020-12-26,Eagles,,Kevon Seymour,placed on IR with knee injury,2020
2020-12-26,Eagles,DeSean Jackson,,activated from IR,2020
2020-12-26,Jaguars,,Sidney Jones IV,placed on IR with Achilles injury,2020
2020-12-26,Jets,La'Mical Perine,,activated from IR,2020
2020-12-26,Packers,Corey Linsley,,activated from IR,2020
2020-12-26,Patriots,,Jordan Thomas (Malik),placed on reserve/COVID-19 list,2020
2020-12-26,Raiders,Maliek Collins,,activated from IR,2020
2020-12-26,Rams,Derrick Moncrief,,activated from practice squad IR,2020
2020-12-26,Rams,Juju Hughes / JuJu Hughes,,activated from reserve/COVID-19 list,2020
2020-12-26,Rams,Marquise Copeland,,activated from practice squad IR,2020
2020-12-26,Seahawks,Bryan Mone,,activated from IR,2020
2020-12-26,Seahawks,Greg Olsen,,activated from IR,2020
2020-12-26,Washington,Antonio Gandy-Golden,,activated from IR,2020
2020-12-27,Texans,,Eric Murray,placed on reserve/COVID-19 list,2020
2020-12-28,49ers,,Hroniss Grasu,placed on reserve/COVID-19 list,2020
2020-12-28,49ers,,Taybor Pepper,placed on reserve/COVID-19 list,2020
2020-12-28,49ers,Austin Walter,,activated from reserve/COVID-19 list,2020
2020-12-28,49ers,Josh Hokit,,activated from practice squad IR,2020
2020-12-28,Bills,,Christian Wade,placed on practice squad IR with COVID-19 coronavirus,2020
2020-12-28,Bills,,Josh Thomas (b. 1996-11-19),placed on practice squad IR with COVID-19 coronavirus,2020
2020-12-28,Bills,,T.J. Yeldon,placed on reserve/COVID-19 list,2020
2020-12-28,Cardinals,,Kylie Fitts,placed on IR with hand injury,2020
2020-12-28,Cardinals,Robert Alford,,activated from reserve/COVID-19 list,2020
2020-12-28,Panthers,,Trenton Scott / Trent Scott,placed on IR with shoulder injury,2020
2020-12-28,Saints,,Kwon Alexander,placed on IR with torn right Achilles tendon,2020
2020-12-28,Titans,,Stephen Gostkowski,placed on reserve/COVID-19 list,2020
2020-12-28,Bills,John Brown (b. 1990-04-03),,activated from IR,2020
2020-12-28,Bills,,John Brown (b. 1990-04-03),placed on reserve/COVID-19 list,2020
2020-12-29,49ers,Charlie Woerner,,activated from reserve/COVID-19 list,2020
2020-12-29,Browns,,Andrew Sendejo,placed on reserve/COVID-19 list,2020
2020-12-29,Browns,,Harrison Bryant,placed on reserve/COVID-19 list,2020
2020-12-29,Browns,,Karl Joseph,placed on reserve/COVID-19 list,2020
2020-12-29,Buccaneers,Ronald Jones II,,activated from reserve/COVID-19 list,2020
2020-12-29,Colts,Ibraheim Campbell,,activated from practice squad IR,2020
2020-12-29,Colts,Rob Windsor,,activated from practice squad IR,2020
2020-12-29,Jets,Ryan Griffin (Francis),,activated from reserve/COVID-19 list,2020
2020-12-29,Lions,,Alexander Myres / Alex Myres,placed on practice squad IR with undisclosed injury,2020
2020-12-29,Raiders,David Irving,,activated from practice squad IR,2020
2020-12-29,Raiders,Nicholas Morrow,,activated from reserve/COVID-19 list,2020
2020-12-29,Rams,,Cooper Kupp,placed on reserve/COVID-19 list,2020
2020-12-29,Rams,,Darrell Henderson,placed on IR with ankle injury,2020
2020-12-29,Rams,Bobby Evans,,activated from reserve/COVID-19 list,2020
2020-12-29,Steelers,,Jarron Jones,placed on practice squad IR with undisclosed injury,2020
2020-12-29,Titans,,Brett Kern,placed on reserve/COVID-19 list,2020
2020-12-29,Vikings,,Brandon Dillon,placed on practice squad IR with COVID-10 coronavirus (out for season),2020
2020-12-29,Vikings,,Kyle Rudolph,placed on IR with foot injury,2020
2020-12-29,Colts,Jordan Glasgow,,activated from reserve/COVID-19 list,2020
2020-12-30,49ers,,Robbie Gould,placed on reserve/COVID-19 list,2020
2020-12-30,Bears,,Badara Traore,placed on practice squad IR with undisclosed injury,2020
2020-12-30,Browns,,Javon Patterson,placed on practice squad IR with COVID-19 coronavirus,2020
2020-12-30,Browns,Ronnie Harrison Jr.,,activated from IR,2020
2020-12-30,Browns,Ryan Switzer,,activated from practice squad IR,2020
2020-12-30,Buccaneers,,Kenjon Barner,placed on IR with groin injury,2020
2020-12-30,Chargers,Ryan Groy,,activated from reserve/COVID-19 list,2020
2020-12-30,Dolphins,Tyshun Render,,activated from practice squad IR,2020
2020-12-30,Giants,,David Sills V,placed on reserve/COVID-19 list,2020
2020-12-30,Jaguars,Terry Godwin,,activated from practice squad IR,2020
2020-12-30,Jets,,Frank Gore,"placed on IR with chest, lung injury",2020
2020-12-30,Jets,,Josh Andrews,placed on IR with groin/thigh injury,2020
2020-12-30,Jets,,La'Mical Perine,placed on reserve/COVID-19 list,2020
2020-12-30,Raiders,,Clelin Ferrell,placed on IR with shoulder injury,2020
2020-12-30,Raiders,,Jalen Richard,placed on reserve/COVID-19 list (out for season),2020
2020-12-30,Raiders,Daryl Worley,,activated from reserve/COVID-19 list,2020
2020-12-30,Rams,Eric Banks,,activated from practice squad IR,2020
2020-12-30,Rams,Micah Kiser,,activated from IR,2020
2020-12-30,Ravens,,Sam Koch,placed on reserve/COVID-19 list,2020
2020-12-30,Saints,,Chauncey Gardner-Johnson / C.J. Gardner-Johnson,placed on reserve/COVID-19 list,2020
2020-12-30,Titans,Cody Hollister,,activated from practice squad IR,2020
2020-12-30,Vikings,,Riley Reiff,placed on reserve/COVID-19 list,2020
2020-12-30,Colts,Braden Smith,,activated from reserve/COVID-19 list,2020
2020-12-30,Patriots,Jordan Thomas (Malik),,activated from reserve/COVID-19 list,2020
2020-12-31,49ers,Josh Johnson (Javon),,activated from practice squad IR,2020
2020-12-31,49ers,Kevin White (Romone),,activated from practice squad IR,2020
2020-12-31,Bengals,,B.J. Finney,placed on reserve/non-football injury list with abdominal injury,2020
2020-12-31,Broncos,,Shelby Harris,placed on IR with knee injury,2020
2020-12-31,Broncos,Jake Butt,,activated from IR,2020
2020-12-31,Browns,,Denzel Ward,placed on reserve/COVID-19 list,2020
2020-12-31,Browns,,Malcolm Smith,placed on reserve/COVID-19 list,2020
2020-12-31,Browns,Donovan Peoples-Jones,,activated from reserve/COVID-19 list,2020
2020-12-31,Browns,Jacob Phillips,,activated from reserve/COVID-19 list,2020
2020-12-31,Browns,Jarvis Landry,,activated from reserve/COVID-19 list,2020
2020-12-31,Browns,Khadarel Hodge,,activated from reserve/COVID-19 list,2020
2020-12-31,Browns,Rashard Higgins,,activated from reserve/COVID-19 list,2020
2020-12-31,Cardinals,,Chris Banjo,placed on reserve/COVID-19 list,2020
2020-12-31,Chargers,,Keenan Allen,placed on reserve/COVID-19 list,2020
2020-12-31,Dolphins,,Elandon Roberts,placed on IR with knee injury,2020
2020-12-31,Dolphins,,Ryan Fitzpatrick,placed on reserve/COVID-19 list,2020
2020-12-31,Eagles,,Jalen Mills,placed on reserve/COVID-19 list,2020
2020-12-31,Falcons,,Alex Mack,placed on reserve/COVID-19 list,2020
2020-12-31,Jaguars,Logan Cooke,,activated from reserve/COVID-19 list,2020
2020-12-31,Patriots,,Josh Uche,placed on IR with foot injury,2020
2020-12-31,Patriots,,Tashawn Bower,placed on IR with neck injury,2020
2020-12-31,Rams,,Michael Brockers,placed on reserve/COVID-19 list,2020
2020-12-31,Ravens,Terrell Bonds,,activated from IR,2020
2021-01-01,49ers,,Jordan Willis,placed on IR with ankle injury,2020
2021-01-01,49ers,,Trent Williams,placed on IR with elbow injury,2020
2021-01-01,Bengals,Brian Allen (b. 1993-10-10),,activated from practice squad IR,2020
2021-01-01,Bills,Christian Wade,,activated from practice squad IR,2020
2021-01-01,Bills,John Brown (b. 1990-04-03),,activated from reserve/COVID-19 list,2020
2021-01-01,Bills,Josh Thomas (b. 1996-11-19),,activated from practice squad IR,2020
2021-01-01,Buccaneers,,Devin White,placed on reserve/COVID-19 list,2020
2021-01-01,Buccaneers,,Shaquil Barrett,placed on reserve/COVID-19 list,2020
2021-01-01,Buccaneers,,Steve McLendon,placed on reserve/COVID-19 list,2020
2021-01-01,Chargers,,Casey Hayward Jr.,placed on IR with hamstring injury,2020
2021-01-01,Chargers,,Malik Jefferson,placed on IR with shoulder injury,2020
2021-01-01,Colts,,Anthony Castonzo,placed on IR with ankle injury (out for season),2020
2021-01-01,Cowboys,,Darian Thompson,placed on reserve/COVID-19 list,2020
2021-01-01,Cowboys,,Justin Hamilton (b. 1993-07-27),placed on reserve/COVID-19 list,2020
2021-01-01,Eagles,,Duke Riley,placed on IR with biceps injury,2020
2021-01-01,Eagles,,Shaun Bradley,placed on IR with neck injury,2020
2021-01-01,Raiders,Erik Harris,,activated from reserve/COVID-19 list,2020
2021-01-01,Saints,,Alvin Kamara,placed on reserve/COVID-19 list,2020
2021-01-01,Colts,Joey Hunt,,activated from practice squad IR,2020
2021-01-02,49ers,Tom Compton,,activated from IR,2020
2021-01-02,Bengals,,Mike Daniels,placed on reserve/COVID-19 list,2020
2021-01-02,Bills,,Tyler Kroft,placed on reserve/COVID-19 list,2020
2021-01-02,Broncos,,K.J. Hamler,placed on IR with concussion,2020
2021-01-02,Browns,,Kevin Johnson (b. 1992-08-05),placed on reserve/COVID-19 list,2020
2021-01-02,Browns,Karl Joseph,,activated from reserve/COVID-19 list,2020
2021-01-02,Cardinals,,Christian Kirk (a),placed on reserve/COVID-19 list,2020
2021-01-02,Colts,Noah Togiai,,activated from IR,2020
2021-01-02,Cowboys,,Justin March-Lillard / Justin March,placed on reserve/COVID-19 list,2020
2021-01-02,Cowboys,Steven Parker,,activated from IR,2020
2021-01-02,Cowboys,Zack Martin,,activated from IR,2020
2021-01-02,Giants,,Elijhaa Penny / Eli Penny,placed on IR with illness,2020
2021-01-02,Giants,Kyler Fackrell,,activated from IR,2020
2021-01-02,Giants,Madre Harper,,activated from IR,2020
2021-01-02,Jaguars,,Collin Johnson,placed on IR with hamstring injury,2020
2021-01-02,Jets,Greg Van Roten,,activated from IR,2020
2021-01-02,Lions,Anthony Pittman,,activated from practice squad IR,2020
2021-01-02,Lions,Danny Shelton,,activated from IR,2020
2021-01-02,Packers,,David Bakhtiari,placed on IR with torn ACL in knee,2020
2021-01-02,Panthers,,Troy Pride Jr.,placed on IR with hip injury,2020
2021-01-02,Patriots,,Damien Harris,placed on IR with ankle injury,2020
2021-01-02,Raiders,Jeff Heath,,activated from IR,2020
2021-01-02,Saints,,D.J. Swearinger,placed on reserve/COVID-19 list,2020
2021-01-02,Saints,,Dwayne Washington,placed on reserve/COVID-19 list,2020
2021-01-02,Saints,,Latavius Murray,placed on reserve/COVID-19 list,2020
2021-01-02,Saints,,Michael Burton,placed on reserve/COVID-19 list,2020
2021-01-02,Seahawks,,Brandon Shell,placed on reserve/COVID-19 list,2020
2021-01-02,Seahawks,,Damarious Randall,placed on reserve/COVID-19 list,2020
2021-01-02,Seahawks,Tre Flowers,,activated from IR,2020
2021-01-02,Steelers,,Cassius Marsh,placed on reserve/COVID-19 list,2020
2021-01-02,Steelers,,Eric Ebron,placed on reserve/COVID-19 list,2020
2021-01-02,Steelers,,Joe Haden,placed on reserve/COVID-19 list,2020
2021-01-02,Texans,,Brent Qvale,placed on IR with concussion,2020
2021-01-02,Titans,Brett Kern,,activated from reserve/COVID-19 list,2020
2021-01-03,Colts,,Jordan Wilkins,placed on reserve/COVID-19 list,2020
2021-01-03,Eagles,,Adrian Killins Jr.,placed on practice squad IR with COVID-10 coronavirus,2020
2021-01-03,Eagles,,Nickell Robey-Coleman,placed on reserve/COVID-19 list,2020
2021-01-03,Titans,,Teair Tart,placed on reserve/COVID-19 list,2020
2021-01-04,Bills,Tyler Kroft,,activated from reserve/COVID-19 list,2020
2021-01-04,Patriots,Isaiah Mack,,activated from practice squad IR,2020
2021-01-05,Browns,,Joel Bitonio,placed on reserve/COVID-19 list,2020
2021-01-05,Browns,,Khadarel Hodge,placed on reserve/COVID-19 list,2020
2021-01-05,Browns,,Nick Harris,placed on IR with knee injury,2020
2021-01-05,Browns,,Olivier Vernon,placed on IR with ruptured Achilles tendon,2020
2021-01-05,Cardinals,Chris Banjo,,activated from reserve/COVID-19 list,2020
2021-01-05,Jaguars,Ben Bartch,,activated from reserve/COVID-19 list,2020
2021-01-05,Ravens,Sean Culkin,,activated from practice squad IR,2020
2021-01-05,Seahawks,Brandon Shell,,activated from reserve/COVID-19 list,2020
2021-01-05,Rams,Kai Forbath,,activated from IR,2020
2021-01-06,49ers,Trent Taylor,,activated from reserve/COVID-19 list,2020
2021-01-06,Bills,T.J. Yeldon,,activated from reserve/COVID-19 list,2020
2021-01-06,Browns,B.J. Goodson,,activated from reserve/COVID-19 list,2020
2021-01-06,Browns,Elijah Benton,,activated from practice squad IR,2020
2021-01-06,Buccaneers,Shaquil Barrett,,activated from reserve/COVID-19 list,2020
2021-01-06,Chiefs,,Michael Danna / Mike Danna,placed on reserve/COVID-19 list,2020
2021-01-06,Falcons,Austin Edwards,,activated from practice squad IR,2020
2021-01-06,Rams,Cooper Kupp,,activated from reserve/COVID-19 list,2020
2021-01-06,Saints,,Nick Easton,placed on IR (with concussion?),2020
2021-01-06,Saints,Dwayne Washington,,activated from reserve/COVID-19 list,2020
2021-01-06,Saints,Keith Washington Jr.,,activated from practice squad IR,2020
2021-01-06,Saints,Latavius Murray,,activated from reserve/COVID-19 list,2020
2021-01-06,Saints,Michael Burton,,activated from reserve/COVID-19 list,2020
2021-01-06,Seahawks,,Jayson Stanley,placed on IR with hamstring injury,2020
2021-01-06,Seahawks,Damarious Randall,,activated from reserve/COVID-19 list,2020
2021-01-06,Titans,Tuzar Skipper,,activated from practice squad IR,2020
2021-01-06,49ers,Chase Harrell,,activated from practice squad IR,2020
2021-01-06,Eagles,Kevon Seymour,,activated from IR,2020
2021-01-07,Browns,,Montrel Meander,placed on practice squad IR with COVID-10 coronavirus,2020
2021-01-07,Browns,,Ronnie Harrison Jr.,placed on reserve/COVID-19 list,2020
2021-01-07,Browns,Andrew Sendejo,,activated from reserve/COVID-19 list,2020
2021-01-07,Chargers,Derwin James Jr.,,activated from reserve/COVID-19 list,2020
2021-01-07,Chargers,Hunter Henry,,activated from reserve/COVID-19 list,2020
2021-01-07,Chargers,Keenan Allen,,activated from reserve/COVID-19 list,2020
2021-01-07,Giants,David Sills V,,activated from reserve/COVID-19 list,2020
2021-01-07,Rams,Andrew Whitworth,,activated from IR,2020
2021-01-07,Titans,,Aaron Brewer,placed on reserve/COVID-19 list,2020
2021-01-07,Titans,Stephen Gostkowski,,activated from reserve/COVID-19 list,2020
2021-01-07,Steelers,Cassius Marsh,,activated from reserve/COVID-19 list,2020
2021-01-07,Steelers,Eric Ebron,,activated from reserve/COVID-19 list,2020
2021-01-07,Steelers,,Cassius Marsh,placed on exempt/COVID-19 list,2020
2021-01-08,Browns,,Jovante Moffatt,placed on reserve/COVID-19 list,2020
2021-01-08,Browns,Javon Patterson,,activated from practice squad IR,2020
2021-01-08,Rams,,Raymond Calais,placed on IR with undisclosed injury,2020
2021-01-08,Rams,Michael Brockers,,activated from reserve/COVID-19 list,2020
2021-01-08,Saints,Chauncey Gardner-Johnson / C.J. Gardner-Johnson,,activated from reserve/COVID-19 list,2020
2021-01-09,Browns,Harrison Bryant,,activated from reserve/COVID-19 list,2020
2021-01-09,Browns,Jovante Moffatt,,activated from reserve/COVID-19 list,2020
2021-01-09,Browns,Malcolm Smith,,activated from reserve/COVID-19 list,2020
2021-01-09,Browns,Montrel Meander,,activated from practice squad IR,2020
2021-01-09,Browns,Ronnie Harrison Jr.,,activated from reserve/COVID-19 list,2020
2021-01-09,Ravens,,Ben Bredeson,placed on IR with knee injury,2020
2021-01-09,Ravens,Sam Koch,,activated from reserve/COVID-19 list,2020
2021-01-09,Saints,,Nick Easton,placed on IR with concussion,2020
2021-01-09,Saints,Alvin Kamara,,activated from reserve/COVID-19 list,2020
2021-01-09,Saints,Deonte Harris,,activated from IR,2020
2021-01-09,Saints,Michael Thomas (William),,activated from IR,2020
2021-01-09,Saints,Patrick Robinson (b. 1987-09-07),,activated from IR,2020
2021-01-09,Seahawks,,Jonathan Bullard,placed on reserve/COVID-19 list,2020
2021-01-09,Steelers,Matt Feiler,,activated from IR,2020
2021-01-09,Steelers,Robert Spillane,,activated from IR,2020
2021-01-11,Buccaneers,,Kevin Minter,placed on reserve/COVID-19 list,2020
2021-01-11,Buccaneers,Devin White,,activated from reserve/COVID-19 list,2020
2021-01-11,Buccaneers,Steve McLendon,,activated from reserve/COVID-19 list,2020
2021-01-11,Chiefs,Anthony Hitchens,,activated from reserve/COVID-19 list,2020
2021-01-11,Chiefs,Michael Danna / Mike Danna,,activated from reserve/COVID-19 list,2020
2021-01-11,Dolphins,Ryan Fitzpatrick,,activated from reserve/COVID-19 list,2020
2021-01-11,Saints,D.J. Swearinger,,activated from reserve/COVID-19 list,2020
2021-01-11,Washington,Shaun Dion Hamilton,,activated from IR,2020
2021-01-12,Bengals,Mike Daniels,,activated from reserve/COVID-19 list,2020
2021-01-12,Bills,,Zack Moss,placed on IR with ankle injury,2020
2021-01-12,Browns,,A.J. Green (b. 1998-06-09),placed on practice squad IR with hamstring injury,2020
2021-01-12,Browns,,Michael Dunn,placed on IR with calf injury,2020
2021-01-12,Browns,,Robert Jackson Jr.,placed on IR with hamstring injury,2020
2021-01-12,Chiefs,,Deandre Baker,placed on practice squad IR with fractured left leg,2020
2021-01-12,Packers,,Simon Stepaniak,placed on IR with knee injury,2020
2021-01-12,Ravens,,Parker Ehinger,placed on practice squad IR with undisclosed injury,2020
2021-01-12,Colts,Anthony Castonzo,,activated from IR,2020
2021-01-13,Browns,Denzel Ward,,activated from reserve/COVID-19 list,2020
2021-01-13,Browns,Kevin Johnson (b. 1992-08-05),,activated from reserve/COVID-19 list,2020
2021-01-13,Cardinals,Christian Kirk (a),,activated from reserve/COVID-19 list,2020
2021-01-13,Falcons,Alex Mack,,activated from reserve/COVID-19 list,2020
2021-01-13,Packers,,Jared Veldheer,placed on reserve/COVID-19 list,2020
2021-01-13,Texans,Eric Murray,,activated from reserve/COVID-19 list,2020
2021-01-13,Texans,Hjalte Froholdt,,activated from reserve/COVID-19 list,2020
2021-01-13,Texans,Whitney Mercilus,,activated from reserve/COVID-19 list,2020
2021-01-14,49ers,Hroniss Grasu,,activated from reserve/COVID-19 list,2020
2021-01-14,49ers,Robbie Gould,,activated from reserve/COVID-19 list,2020
2021-01-14,Browns,Khadarel Hodge,,activated from reserve/COVID-19 list,2020
2021-01-15,Browns,Joel Bitonio,,activated from reserve/COVID-19 list,2020
2021-01-15,Buccaneers,,Alex Cappa,placed on IR with fractured ankle,2020
2021-01-15,Saints,,Will Clapp,placed on reserve/COVID-19 list,2020
2021-01-16,Chiefs,,Deon Yelder,placed on IR with groin injury,2020
2021-01-16,Chiefs,Dorian O'Daniel,,activated from IR,2020
2021-01-16,Saints,,Will Clapp,placed on IR,2020
2021-01-16,Saints,Tre'Quan Smith,,activated from IR,2020
2021-01-18,Steelers,Joe Haden,,activated from reserve/COVID-19 list,2020
2021-01-18,Titans,Aaron Brewer,,activated from reserve/COVID-19 list,2020
2021-01-18,Titans,Teair Tart,,activated from reserve/COVID-19 list,2020
2021-01-18,Ravens,Robert Griffin III,,activated from IR,2020
2021-01-19,Buccaneers,,Jack Cichy,placed on IR with fractured left arm,2020
2021-01-19,Bills,Del'Shawn Phillips,,activated from IR,2020
2021-01-20,Buccaneers,Kevin Minter,,activated from reserve/COVID-19 list,2020
2021-01-20,Colts,Jordan Wilkins,,activated from reserve/COVID-19 list,2020
2021-01-20,Eagles,Nickell Robey-Coleman,,activated from reserve/COVID-19 list,2020
2021-01-21,Seahawks,Jonathan Bullard,,activated from reserve/COVID-19 list,2020
2021-01-22,Buccaneers,Vita Vea,,activated from IR,2020
2021-01-28,Eagles,Jalen Mills,,activated from reserve/COVID-19 list,2020
2021-01-29,Buccaneers,Cyril Grayson,,activated from practice squad IR,2020
2021-02-01,Chiefs,,Daniel Kilgore,placed on reserve/COVID-19 list,2020
2021-02-01,Chiefs,,Demarcus Robinson,placed on reserve/COVID-19 list,2020
2021-02-01,Cowboys,Darian Thompson,,activated from reserve/COVID-19 list,2020
2021-02-01,Cowboys,Justin Hamilton (b. 1993-07-27),,activated from reserve/COVID-19 list,2020
2021-02-01,Cowboys,Justin March-Lillard / Justin March,,activated from reserve/COVID-19 list,2020
2021-02-02,49ers,Taybor Pepper,,activated from reserve/COVID-19 list,2020
2021-02-04,Saints,Will Clapp,,activated from reserve/COVID-19 list,2020
2021-02-05,Chiefs,Demarcus Robinson,,activated from reserve/COVID-19 list,2020
2021-02-06,Chiefs,,Eric Fisher,placed on IR with Achilles injury,2020
2021-02-06,Chiefs,,Willie Gay Jr.,"placed on IR with ankle, knee injuries",2020
2021-02-06,Chiefs,Daniel Kilgore,,activated from reserve/COVID-19 list,2020
2021-02-06,Chiefs,Deon Yelder,,activated from IR,2020
2021-02-10,49ers,Ben Garland,,activated from IR,2020
2021-02-10,49ers,Dee Ford,,activated from IR,2020
2021-02-10,49ers,Ezekiel Ansah / Ziggy Ansah,,activated from IR,2020
2021-02-10,49ers,Jalen Hurd,,activated from IR,2020
2021-02-10,49ers,Jamar Taylor,,activated from IR,2020
2021-02-10,49ers,JaMycal Hasty,,activated from IR,2020
2021-02-10,49ers,Jaquiski Tartt,,activated from IR,2020
2021-02-10,49ers,Jordan Willis,,activated from IR,2020
2021-02-10,49ers,Kendarius Webster / Ken Webster,,activated from IR,2020
2021-02-10,49ers,Nick Bosa,,activated from IR,2020
2021-02-10,49ers,Nick Mullens,,activated from IR,2020
2021-02-10,49ers,Raheem Mostert,,activated from IR,2020
2021-02-10,49ers,Ronald Blair,,activated from reserve/physically unable to perform list,2020
2021-02-10,49ers,Solomon Thomas,,activated from IR,2020
2021-02-10,49ers,Trent Williams,,activated from IR,2020
2021-02-10,Bears,Artie Burns,,activated from IR,2020
2021-02-10,Bears,Darion Clark,,activated from IR,2020
2021-02-10,Bears,Dwayne Harris,,activated from IR,2020
2021-02-10,Bears,Eddy Pineiro,,activated from IR,2020
2021-02-10,Bears,James Daniels (b. 1997-09-13),,activated from IR,2020
2021-02-10,Bears,Roy Robertson-Harris,,activated from IR,2020
2021-02-10,Bears,Tarik Cohen,,activated from IR,2020
2021-02-10,Bears,Tre Roberson,,activated from reserve/non-football injury list,2020
2021-02-10,Bengals,Auden Tate,,activated from IR,2020
2021-02-10,Bengals,B.J. Finney,,activated from reserve/non-football injury list,2020
2021-02-10,Bengals,C.J. Uzomah,,activated from IR,2020
2021-02-10,Bengals,D.J. Reader,,activated from IR,2020
2021-02-10,Bengals,Geno Atkins,,activated from IR,2020
2021-02-10,Bengals,Joe Burrow,,activated from IR,2020
2021-02-10,Bengals,Joe Mixon,,activated from IR,2020
2021-02-10,Bengals,John Ross III,,activated from IR,2020
2021-02-10,Bengals,Renell Wren,,activated from IR,2020
2021-02-10,Bengals,Trae Waynes,,activated from IR,2020
2021-02-10,Bills,Cameron Lewis / Cam Lewis,,activated from IR,2020
2021-02-10,Bills,Cody Ford,,activated from IR,2020
2021-02-10,Bills,Tommy Sweeney,,activated from reserve/physically unable to perform list,2020
2021-02-10,Bills,Zack Moss,,activated from IR,2020
2021-02-10,Broncos,Albert Okwuegbunam,,activated from IR,2020
2021-02-10,Broncos,Austin Fort,,activated from IR,2020
2021-02-10,Broncos,Bryce Callahan,,activated from IR,2020
2021-02-10,Broncos,Courtland Sutton,,activated from IR,2020
2021-02-10,Broncos,Duke Dawson,,activated from IR,2020
2021-02-10,Broncos,Essang Bassey,,activated from IR,2020
2021-02-10,Broncos,Jonathan Harris,,activated from reserve/non-football injury list,2020
2021-02-10,Broncos,Jurrell Casey,,activated from IR,2020
2021-02-10,Broncos,K.J. Hamler,,activated from IR,2020
2021-02-10,Broncos,Kevin Toliver II,,activated from IR,2020
2021-02-10,Broncos,Mike Purcell,,activated from IR,2020
2021-02-10,Broncos,Phillip Lindsay,,activated from IR,2020
2021-02-10,Broncos,Shelby Harris,,activated from IR,2020
2021-02-10,Broncos,Von Miller,,activated from IR,2020
2021-02-10,Browns,Bruce Natson / JoJo Natson Jr.,,activated from IR,2020
2021-02-10,Browns,Chris Hubbard,,activated from IR,2020
2021-02-10,Browns,Curtis Weaver,,activated from IR,2020
2021-02-10,Browns,George Obinna,,activated from IR,2020
2021-02-10,Browns,Grant Delpit,,activated from IR,2020
2021-02-10,Browns,Greedy Williams,,activated from IR,2020
2021-02-10,Browns,Michael Dunn,,activated from IR,2020
2021-02-10,Browns,Nick Harris,,activated from IR,2020
2021-02-10,Browns,Odell Beckham Jr.,,activated from IR,2020
2021-02-10,Browns,Olivier Vernon,,activated from IR,2020
2021-02-10,Browns,Robert Jackson Jr.,,activated from IR,2020
2021-02-10,Browns,Taywan Taylor,,activated from IR,2020
2021-02-10,Browns,Trevon Young,,activated from IR,2020
2021-02-10,Buccaneers,A.Q. Shipley,,activated from IR,2020
2021-02-10,Buccaneers,Alex Cappa,,activated from IR,2020
2021-02-10,Buccaneers,Jack Cichy,,activated from IR,2020
2021-02-10,Buccaneers,John Franklin III,,activated from IR,2020
2021-02-10,Buccaneers,O.J. Howard,,activated from IR,2020
2021-02-10,Buccaneers,T.J. Logan,,activated from IR,2020
2021-02-10,Cardinals,Chandler Jones (James),,activated from IR,2020
2021-02-10,Cardinals,Corey Peters,,activated from IR,2020
2021-02-10,Cardinals,Dennis Gardeck,,activated from IR,2020
2021-02-10,Cardinals,Isaiah Irving,,activated from IR,2020
2021-02-10,Cardinals,Johnathan Joseph,,activated from IR,2020
2021-02-10,Cardinals,Jordan Phillips,,activated from IR,2020
2021-02-10,Cardinals,Kylie Fitts,,activated from IR,2020
2021-02-10,Cardinals,Robert Alford,,activated from IR,2020
2021-02-10,Cardinals,Zane Gonzalez,,activated from IR,2020
2021-02-10,Chargers,Casey Hayward Jr.,,activated from IR,2020
2021-02-10,Chargers,Derwin James Jr.,,activated from IR,2020
2021-02-10,Chargers,Drue Tranquill,,activated from IR,2020
2021-02-10,Chargers,Kyzir White,,activated from IR,2020
2021-02-10,Chargers,Malik Jefferson,,activated from IR,2020
2021-02-10,Chargers,Melvin Ingram,,activated from IR,2020
2021-02-10,Chargers,Mike Pouncey,,activated from IR,2020
2021-02-10,Chargers,Ryan Groy,,activated from IR,2020
2021-02-10,Chargers,Uchenna Nwosu,,activated from IR,2020
2021-02-10,Chargers,Virgil Green,,activated from IR,2020
2021-02-10,Chiefs,Alex Brown (b. 1996-08-30),,activated from IR,2020
2021-02-10,Chiefs,Eric Fisher,,activated from IR,2020
2021-02-10,Chiefs,Kelechi Osemele,,activated from IR,2020
2021-02-10,Chiefs,Mitchell Schwartz,,activated from IR,2020
